Date,Temp_Day,Temp_Night,Humidity,Rainfall,Wind_Speed
2024-01-01,22.5,19.4,88,0.1,2.8
2024-01-02,34.0,18.6,43,0.0,7.2
2024-01-03,29.6,7.9,55,0.0,8.4
2024-01-04,27.0,6.0,33,0.0,1.4
2024-01-05,18.1,6.5,54,0.0,7.0
2024-01-06,18.1,5.3,74,0.0,9.6
2024-01-07,16.2,6.4,71,0.0,2.1
2024-01-08,32.3,15.2,54,10.0,9.1
2024-01-09,27.0,6.1,47,0.0,6.4
2024-01-10,29.2,9.8,69,0.0,6.5
2024-01-11,15.4,17.7,37,5.0,6.5
2024-01-12,34.4,5.3,68,0.0,3.7
2024-01-13,31.6,17.2,69,5.0,9.4
2024-01-14,19.2,9.2,43,0.0,9.5
2024-01-15,18.6,6.8,61,0.0,6.6
2024-01-16,18.7,15.5,80,0.0,8.1
2024-01-17,21.1,14.4,67,0.0,6.5
2024-01-18,25.5,18.2,62,0.1,5.4
2024-01-19,23.6,16.0,52,0.0,6.9
2024-01-20,20.8,17.1,44,0.0,6.0
2024-01-21,27.2,9.2,62,0.0,6.4
2024-01-22,17.8,7.7,54,0.0,8.1
2024-01-23,20.8,16.3,46,0.1,5.3
2024-01-24,22.3,17.1,62,0.0,1.4
2024-01-25,24.1,19.9,76,0.0,2.5
2024-01-26,30.7,11.2,84,0.0,4.9
2024-01-27,19.0,10.6,31,0.0,7.5
2024-01-28,25.3,16.6,43,5.0,6.3
2024-01-29,26.8,10.1,82,0.0,6.9
2024-01-30,15.9,19.0,69,0.1,5.3
2024-01-31,27.2,17.9,69,0.0,6.5
2024-02-01,18.4,11.4,80,0.0,4.0
2024-02-02,16.3,16.3,68,20.0,5.2
2024-02-03,34.0,16.3,80,0.0,7.7
2024-02-04,34.3,6.5,35,0.0,8.8
2024-02-05,31.2,18.5,35,0.1,4.9
2024-02-06,21.1,12.6,32,0.0,1.4
2024-02-07,17.0,17.4,36,5.0,2.5
2024-02-08,28.7,9.8,80,0.0,1.2
2024-02-09,23.8,18.4,37,10.0,6.9
2024-02-10,17.4,10.8,71,0.1,4.0
2024-02-11,24.9,5.2,81,0.0,5.9
2024-02-12,15.7,18.6,44,10.0,5.4
2024-02-13,33.2,6.4,76,0.0,1.7
2024-02-14,20.2,9.8,58,20.0,4.6
2024-02-15,28.3,19.3,62,0.0,3.0
2024-02-16,21.2,19.3,81,0.0,4.8
2024-02-17,25.4,13.6,59,0.0,2.8
2024-02-18,25.9,14.5,68,0.0,8.6
2024-02-19,18.7,11.7,56,0.0,2.6
2024-02-20,34.4,9.4,65,5.0,9.6
2024-02-21,30.5,9.9,58,5.0,4.7
2024-02-22,33.8,15.1,67,20.0,8.6
2024-02-23,32.9,16.3,86,0.0,6.7
2024-02-24,27.0,16.9,62,0.0,7.6
2024-02-25,33.4,16.8,66,0.0,7.9
2024-02-26,16.8,6.4,56,0.0,5.5
2024-02-27,18.9,12.4,84,0.0,5.9
2024-02-28,15.9,5.9,62,0.0,5.6
2024-02-29,21.5,13.2,33,0.1,6.3
2024-03-01,22.8,11.6,51,0.0,1.3
2024-03-02,20.4,18.3,31,0.0,4.6
2024-03-03,31.6,10.3,39,0.0,6.5
2024-03-04,22.1,6.8,34,0.0,6.4
2024-03-05,20.6,7.1,88,0.0,8.1
2024-03-06,25.9,16.4,39,20.0,6.9
2024-03-07,17.8,14.3,62,0.0,9.9
2024-03-08,31.0,6.5,83,0.0,3.6
2024-03-09,16.5,6.3,67,0.0,4.2
2024-03-10,34.7,15.5,42,5.0,4.5
2024-03-11,30.4,6.1,60,20.0,5.2
2024-03-12,19.0,17.3,76,0.1,8.5
2024-03-13,15.1,15.6,65,0.0,3.1
2024-03-14,31.3,6.2,74,0.0,8.0
2024-03-15,29.1,6.3,53,0.0,4.6
2024-03-16,29.6,19.8,81,20.0,6.4
2024-03-17,30.4,10.6,85,0.1,6.7
2024-03-18,16.5,10.6,44,0.0,4.4
2024-03-19,22.2,17.2,58,0.1,5.6
2024-03-20,17.3,19.2,37,0.1,4.7
2024-03-21,32.3,19.8,34,0.0,1.6
2024-03-22,27.5,16.3,58,20.0,4.9
2024-03-23,21.6,10.6,76,10.0,1.9
2024-03-24,16.3,6.3,33,0.0,4.6
2024-03-25,21.2,16.7,41,0.0,6.3
2024-03-26,21.5,13.4,74,0.0,6.2
2024-03-27,29.6,11.4,31,0.0,7.0
2024-03-28,27.8,18.6,56,0.0,1.9
2024-03-29,32.7,6.7,60,0.0,6.9
2024-03-30,24.4,12.4,80,20.0,3.8
2024-03-31,17.4,5.2,80,0.0,4.6
2024-04-01,29.3,12.0,65,0.0,8.7
2024-04-02,30.2,5.8,65,0.0,1.1
2024-04-03,26.2,6.8,55,0.0,6.3
2024-04-04,30.4,6.8,72,0.1,6.4
2024-04-05,24.9,14.7,56,0.0,4.6
2024-04-06,25.5,16.2,34,0.0,3.1
2024-04-07,23.6,13.8,49,0.0,3.1
2024-04-08,15.5,19.4,40,0.1,9.0
2024-04-09,17.2,10.6,39,0.1,5.0
2024-04-10,15.6,9.3,69,0.0,4.0
2024-04-11,27.7,18.0,67,0.0,5.0
2024-04-12,21.3,8.4,35,0.0,7.0
2024-04-13,25.2,19.4,37,0.0,2.3
2024-04-14,33.2,5.2,52,0.0,5.0
2024-04-15,20.0,19.5,76,0.0,6.3
2024-04-16,23.2,5.6,55,0.0,9.5
2024-04-17,30.1,18.4,75,0.0,3.3
2024-04-18,19.6,12.9,72,5.0,4.2
2024-04-19,16.5,19.9,41,0.0,4.4
2024-04-20,20.8,6.1,55,0.0,6.4
2024-04-21,18.2,13.3,42,0.0,4.2
2024-04-22,33.6,19.5,69,0.0,5.8
2024-04-23,31.2,12.8,47,5.0,8.0
2024-04-24,27.7,14.4,54,0.0,7.3
2024-04-25,32.4,15.4,62,0.0,5.0
2024-04-26,31.1,11.8,76,0.1,8.8
2024-04-27,18.7,14.4,69,0.0,6.0
2024-04-28,32.9,13.8,89,0.0,5.9
2024-04-29,25.8,18.5,72,5.0,1.3
2024-04-30,31.1,5.7,41,0.0,9.9
2024-05-01,32.9,9.2,73,0.0,2.1
2024-05-02,21.4,19.3,65,20.0,3.1
2024-05-03,17.2,18.4,77,0.0,1.5
2024-05-04,19.6,11.8,33,0.0,6.8
2024-05-05,23.5,14.3,34,0.0,3.0
2024-05-06,31.4,9.2,85,10.0,2.6
2024-05-07,32.2,7.8,66,0.0,1.8
2024-05-08,15.1,12.0,37,0.0,1.9
2024-05-09,25.2,10.3,71,0.0,6.3
2024-05-10,23.3,13.8,78,0.0,7.2
2024-05-11,19.4,6.2,57,0.0,4.6
2024-05-12,17.4,19.6,60,0.0,5.3
2024-05-13,21.8,19.8,87,0.0,7.2
2024-05-14,33.9,15.5,38,0.0,1.2
2024-05-15,21.5,13.0,83,0.0,3.9
2024-05-16,25.4,9.6,80,0.0,9.8
2024-05-17,29.1,17.2,58,0.0,6.2
2024-05-18,22.3,15.3,43,0.0,3.3
2024-05-19,34.4,7.4,69,0.1,5.7
2024-05-20,34.2,18.7,70,0.0,4.1
2024-05-21,20.0,17.3,51,0.0,5.8
2024-05-22,24.9,19.2,40,0.0,2.1
2024-05-23,21.0,15.9,52,5.0,2.2
2024-05-24,20.7,14.2,30,0.1,2.3
2024-05-25,15.7,11.3,75,0.0,9.5
2024-05-26,27.2,19.0,66,0.0,7.6
2024-05-27,25.1,18.0,50,10.0,2.5
2024-05-28,16.0,5.7,55,0.0,2.7
2024-05-29,20.6,5.4,75,0.0,7.6
2024-05-30,33.2,10.6,65,0.0,2.4
2024-05-31,19.8,17.2,83,0.0,3.1
2024-06-01,17.9,19.8,52,20.0,9.7
2024-06-02,24.8,7.3,86,0.1,3.3
2024-06-03,34.7,13.9,30,0.0,7.0
2024-06-04,19.8,10.7,83,0.0,9.8
2024-06-05,28.4,19.5,84,20.0,4.4
2024-06-06,30.2,17.6,80,5.0,1.2
2024-06-07,19.8,17.6,69,0.0,3.2
2024-06-08,29.6,12.0,44,10.0,8.5
2024-06-09,22.4,11.2,50,20.0,8.8
2024-06-10,27.6,9.1,76,0.1,7.9
2024-06-11,27.7,5.8,38,0.0,2.0
2024-06-12,25.7,18.0,82,0.0,8.2
2024-06-13,16.8,17.2,38,5.0,9.3
2024-06-14,31.7,20.0,39,0.0,6.4
2024-06-15,21.4,19.9,81,5.0,9.5
2024-06-16,18.7,13.3,86,0.0,8.4
2024-06-17,15.8,16.5,82,0.0,7.0
2024-06-18,26.8,19.2,55,0.0,6.2
2024-06-19,28.6,17.7,70,0.0,4.1
2024-06-20,15.3,8.7,64,20.0,2.4
2024-06-21,25.2,11.8,81,5.0,6.4
2024-06-22,19.5,6.9,54,5.0,3.9
2024-06-23,27.9,19.3,55,0.0,8.8
2024-06-24,18.5,14.1,40,0.0,9.9
2024-06-25,28.8,8.4,67,0.0,7.8
2024-06-26,22.7,15.1,31,0.0,1.8
2024-06-27,33.7,14.3,36,0.0,3.6
2024-06-28,17.8,10.4,47,0.0,2.0
2024-06-29,21.8,6.7,56,0.0,6.9
2024-06-30,17.3,15.1,63,0.0,7.9
2024-07-01,33.5,12.8,56,20.0,9.3
2024-07-02,32.5,16.6,46,5.0,4.9
2024-07-03,20.2,12.8,72,0.0,9.1
2024-07-04,28.2,17.8,88,0.0,8.9
2024-07-05,31.3,13.3,73,0.1,3.9
2024-07-06,26.1,13.4,88,0.0,8.8
2024-07-07,25.6,18.1,80,5.0,4.4
2024-07-08,19.8,11.1,83,5.0,3.7
2024-07-09,16.9,7.0,53,0.0,6.8
2024-07-10,32.9,5.4,54,0.0,4.0
2024-07-11,33.0,16.3,36,0.0,6.7
2024-07-12,27.7,14.3,81,0.0,6.5
2024-07-13,21.8,15.6,35,0.0,6.1
2024-07-14,22.0,8.2,82,5.0,4.4
2024-07-15,29.5,7.0,53,0.0,5.9
